DEL,DEL,konto,IB
#IB,0,1012,1001270.44
#IB,0,1019,-400508.18
#IB,0,1040,240000
#IB,0,1049,-84000
#IB,0,1050,168800
#IB,0,1059,-168800
#IB,0,1220,47848.93
#IB,0,1229,-37001.57
#IB,0,1312,131467.8
#IB,0,1383,20000
#IB,0,1410,7017767.29
#IB,0,1411,0
#IB,0,1440,0
#IB,0,1450,0
#IB,0,1451,0
#IB,0,1459,0
#IB,0,1469,0
#IB,0,1483,0
#IB,0,1502,0
#IB,0,1510,2203362.6
#IB,0,1511,28187.16
#IB,0,1516,0
#IB,0,1517,88281.12
#IB,0,1519,-459637.23
#IB,0,1527,0
#IB,0,1610,0
#IB,0,1619,0
#IB,0,1630,0
#IB,0,1640,-64364
#IB,0,1650,0
#IB,0,1670,0
#IB,0,1671,-3361
#IB,0,1672,0
#IB,0,1673,0
#IB,0,1674,0
#IB,0,1675,1207.96
#IB,0,1676,521.45
#IB,0,1677,3732.21
#IB,0,1678,20657.36
#IB,0,1679,0
#IB,0,1680,0
#IB,0,1681,38613.41
#IB,0,1682,5440.02
#IB,0,1683,0
#IB,0,1684,0
#IB,0,1685,0
#IB,0,1686,0
#IB,0,1687,0
#IB,0,1688,4768.25
#IB,0,1689,0
#IB,0,1691,0
#IB,0,1692,-25385.74
#IB,0,1693,0
#IB,0,1710,0
#IB,0,1730,10500
#IB,0,1790,0
#IB,0,1795,0
#IB,0,1796,0
#IB,0,1797,0
#IB,0,1798,0
#IB,0,1799,113809.74
#IB,0,1901,0
#IB,0,1930,0
#IB,0,1931,-2811539.8
#IB,0,1932,49150.39
#IB,0,1950,2307.96
#IB,0,1982,8632.25
#IB,0,1983,0
#IB,0,2081,-50000
#IB,0,2091,-2419610.15
#IB,0,2099,494260.72
#IB,0,2125,0
#IB,0,2126,0
#IB,0,2127,0
#IB,0,2129,0
#IB,0,2420,0
#IB,0,2440,-1262865.93
#IB,0,2447,-38141.2
#IB,0,2448,0
#IB,0,2495,-393427
#IB,0,2510,0
#IB,0,2514,-31561.28
#IB,0,2518,124113
#IB,0,2610,0
#IB,0,2611,0
#IB,0,2614,0
#IB,0,2615,0
#IB,0,2616,0
#IB,0,2619,0
#IB,0,2625,0
#IB,0,2635,0
#IB,0,2641,0
#IB,0,2645,0
#IB,0,2650,-712099
#IB,0,2651,0
#IB,0,2670,0
#IB,0,2710,-18545
#IB,0,2731,-26019
#IB,0,2890,0
#IB,0,2892,-100000
#IB,0,2893,-2513.7
#IB,0,2894,-134368.32
#IB,0,2896,-735500
#IB,0,2897,-560000
#IB,0,2898,-380000
#IB,0,2899,0
#IB,0,2910,0
#IB,0,2920,-38356.92
#IB,0,2941,-12051.75
#IB,0,2990,-509955.14
#IB,0,2996,-345088.15
#IB,-1,1012,1001270.44
#IB,-1,1019,-200254.09
#IB,-1,1040,240000
#IB,-1,1049,-36000
#IB,-1,1050,168800
#IB,-1,1059,-141019.94
#IB,-1,1220,29770
#IB,-1,1229,-23820.6
#IB,-1,1383,20000
#IB,-1,1410,7537598.17
#IB,-1,1411,191985.98
#IB,-1,1440,0
#IB,-1,1450,0
#IB,-1,1451,1186428.25
#IB,-1,1459,0
#IB,-1,1469,0
#IB,-1,1483,0
#IB,-1,1502,0
#IB,-1,1510,2948007.44
#IB,-1,1511,264936.1
#IB,-1,1516,0
#IB,-1,1517,104544.24
#IB,-1,1519,-418535.22
#IB,-1,1527,0
#IB,-1,1610,0
#IB,-1,1630,-5149
#IB,-1,1650,0
#IB,-1,1670,-2222.46
#IB,-1,1671,499
#IB,-1,1672,-5076.17
#IB,-1,1673,0
#IB,-1,1674,0
#IB,-1,1675,430.56
#IB,-1,1676,1107.8
#IB,-1,1677,707.66
#IB,-1,1678,70000
#IB,-1,1679,1.03
#IB,-1,1680,0
#IB,-1,1681,0
#IB,-1,1682,2672.57
#IB,-1,1683,0
#IB,-1,1684,102798.57
#IB,-1,1685,0
#IB,-1,1686,0
#IB,-1,1687,0
#IB,-1,1688,0
#IB,-1,1689,0
#IB,-1,1691,0
#IB,-1,1710,0
#IB,-1,1730,13136
#IB,-1,1790,18000
#IB,-1,1795,0
#IB,-1,1796,48891.85
#IB,-1,1797,0
#IB,-1,1798,0
#IB,-1,1799,-48892.88
#IB,-1,1901,0
#IB,-1,1930,0
#IB,-1,1931,-3555537.64
#IB,-1,1950,1694.31
#IB,-1,1982,33667.77
#IB,-1,1983,0
#IB,-1,2081,-50000
#IB,-1,2091,-2418901.33
#IB,-1,2099,-708.82
#IB,-1,2125,0
#IB,-1,2126,0
#IB,-1,2127,-105954
#IB,-1,2129,0
#IB,-1,2420,-13654.52
#IB,-1,2440,-1216168.46
#IB,-1,2447,-38141.2
#IB,-1,2448,-1242820.25
#IB,-1,2510,-55871
#IB,-1,2514,-23960.62
#IB,-1,2518,0
#IB,-1,2610,0
#IB,-1,2611,0
#IB,-1,2614,0
#IB,-1,2615,0
#IB,-1,2616,0
#IB,-1,2619,0
#IB,-1,2625,0
#IB,-1,2635,0
#IB,-1,2641,0
#IB,-1,2645,0
#IB,-1,2650,-270683
#IB,-1,2651,-3877.92
#IB,-1,2670,0
#IB,-1,2710,-38988
#IB,-1,2731,-45683
#IB,-1,2890,0
#IB,-1,2892,-100000
#IB,-1,2893,0
#IB,-1,2894,-14300.06
#IB,-1,2896,-750000
#IB,-1,2897,-760000
#IB,-1,2898,-380000
#IB,-1,2910,0
#IB,-1,2920,-310461.5
#IB,-1,2941,-97547.01
#IB,-1,2990,-415382.72
#IB,-1,2996,-1197336.33
